project_title,character_name,notes
The Matrix,Neo,Quiet hacker turned reluctant messianic action hero
The Matrix,Trinity,"Cool, disciplined resistance fighter"
The Matrix,Morpheus,Charismatic mentor with spiritual authority
The Matrix,Agent Smith,"Cold, controlled antagonist with quiet menace"
Mad Max: Fury Road,Max Rockatansky,"Haunted survivor, man of few words, acts on instinct"
Mad Max: Fury Road,Furiosa,"Fierce, one-armed warrior driven by a need for redemption"
Mad Max: Fury Road,Immortan Joe,Tyrannical warlord who rules through control of water
Mad Max: Fury Road,Nux,Zealous War Boy who finds humanity through sacrifice
Mad Max: Fury Road,The Dag,"Sardonic, darkly witty captive bride with a defiant spirit"
The Revenant,Hugh Glass,Relentless frontiersman driven by grief and survival instinct
The Revenant,John Fitzgerald,"Calculating, self-serving trapper with no moral compass"
The Revenant,Jim Bridger,"Young, conflicted trapper torn between loyalty and fear"
The Revenant,Hawk,"Glass's devoted half-Pawnee son, brave beyond his years"
The Revenant,Captain Andrew Henry,Pragmatic expedition leader trying to hold his crew together
The Martian,Mark Watney,Optimistic botanist-astronaut who problem-solves his way through catastrophe
The Martian,Commander Lewis,Decisive mission leader burdened by guilt and loyalty to her crew
The Martian,Teddy Sanders,NASA director navigating politics and impossible decisions
The Martian,Vincent Kapoor,Earnest mission director who fights for what he believes is right
The Martian,Rich Purnell,Socially oblivious orbital mechanics genius with a singular focus
Spotlight,Walter Robinson,"Steady, methodical editor who lets facts lead the story"
Spotlight,Mike Rezendes,Tenacious reporter with a personal sense of moral urgency
Spotlight,Sacha Pfeiffer,Empathetic journalist who earns victims' trust and listens closely
Spotlight,Marty Baron,Quietly radical outsider editor who pushes the team to go further
Spotlight,Mitchell Garabedian,"Crusading lawyer, eccentric and tireless, fighting for abuse survivors"
Ex Machina,Caleb Smith,Idealistic programmer seduced by intellect and beauty into making fatal mistakes
Ex Machina,Nathan Bateman,"Brilliant, controlling tech CEO who plays god with dangerous confidence"
Ex Machina,Ava,Eerily intelligent AI whose true motives remain opaque until the end
Ex Machina,Kyoko,"Silent, obedient android whose repression hints at something simmering beneath"
Ex Machina,Jade,"Earlier AI model — a ghost of failed experiments, unseen but haunting"
Arrival,Louise Banks,Brilliant linguist who processes grief and time in non-linear ways
Arrival,Ian Donnelly,"Warm, curious physicist who grounds Louise with logic and heart"
Arrival,Colonel Weber,Pragmatic military handler caught between urgency and caution
Arrival,Agent Halpern,Tightly wound government operative who sees threats before diplomacy
Arrival,General Shang,Chinese commander whose pivotal decision hinges on a whispered memory
Dune,Paul Atreides,"Reluctant chosen one navigating prophecy, power, and identity"
Dune,Lady Jessica,Disciplined Bene Gesserit torn between her order and her love for her son
Dune,Duncan Idaho,Fiercely loyal swordmaster whose warmth makes him the heart of House Atreides
Dune,Stilgar,Gruff Fremen leader who slowly comes to see Paul as something more than an outsider
Dune,Baron Harkonnen,"Grotesque, cunning villain who treats cruelty as a form of art"
The Dark Knight,Bruce Wayne / Batman,Tortured vigilante forced to confront the cost of his moral absolutes
The Dark Knight,The Joker,Anarchic agent of chaos who just wants to watch the world unravel
The Dark Knight,Harvey Dent,Idealistic DA whose faith in justice is catastrophically destroyed
The Dark Knight,Alfred Pennyworth,"Wise, devoted guardian who tells Bruce the truths he does not want to hear"
The Dark Knight,James Gordon,"Weary, principled cop trying to hold the line in a corrupt city"
No Country for Old Men,Anton Chigurh,"Implacable, philosophical killer who sees himself as an instrument of fate"
No Country for Old Men,Llewelyn Moss,"Stubborn, resourceful everyman who grabs the money and pays the price"
No Country for Old Men,Sheriff Ed Tom Bell,Aging lawman haunted by a world that has outpaced his understanding of evil
No Country for Old Men,Carson Wells,Coolly professional bounty hunter who underestimates the one man he should not
No Country for Old Men,Carla Jean Moss,Quietly resilient woman caught in a violent storm not of her making